Stock Name,NSE Code
360 One Wam Ltd.,360ONE
3M India Ltd.,3MINDIA
5Paisa Capital Ltd.,5PAISA
63 Moons Technologies Ltd.,63MOONS
Aadhar Housing Finance Ltd.,AADHARHFC
Aarti Drugs Ltd.,AARTIDRUGS
Aarti Industries Ltd.,AARTIIND
Aarti Pharmalabs Ltd.,AARTIPHARM
Aavas Financiers Ltd.,AAVAS
ABB India Ltd.,ABB
Abbott India Ltd.,ABBOTINDIA
Aditya Birla Capital Ltd.,ABCAPITAL
AB Cotspin India Ltd.,ABCOTS
Allied Blenders & Distillers Ltd.,ABDL
Aditya Birla Fashion and Retail Ltd.,ABFRL
AB Infrabuild Ltd.,ABINFRA
Aditya Birla Lifestyle Brands Ltd.,ABLBL
Aditya Birla Real Estate Ltd.,ABREL
Aditya Birla Sun Life AMC Ltd.,ABSLAMC
ACC Ltd.,ACC
Accelya Solutions India Ltd.,ACCELYA
Accent Microcell Ltd.,ACCENTMIC
Action Construction Equipment Ltd.,ACE
Archean Chemical Industries Ltd.,ACI
ACME Solar Holdings Ltd.,ACMESOLAR
Acutaas Chemicals Ltd.,ACUTAAS
Adani Energy Solutions Ltd.,ADANIENSOL
Adani Enterprises Ltd.,ADANIENT
Adani Green Energy Ltd.,ADANIGREEN
Adani Ports & Special Economic Zone Ltd.,ADANIPORTS
Adani Power Ltd.,ADANIPOWER
ADF Foods Ltd.,ADFFOODS
Ador Welding Ltd.,ADOR
Advait Energy Transitions Ltd.,ADVAIT
Advance Agrolife Ltd.,ADVANCE
Advent Hotels International Ltd.,ADVENTHTL
Advanced Enzyme Technologies Ltd.,ADVENZYMES
Aegis Logistics Ltd.,AEGISLOG
Aegis Vopak Terminals Ltd.,AEGISVOPAK
Aequs Ltd.,AEQUS
Aeroflex Enterprises Ltd.,AEROENTER
Aeroflex Industries Ltd.,AEROFLEX
Aether Industries Ltd.,AETHER
Afcons Infrastructure Ltd.,AFCONS
Affle 3I Ltd.,AFFLE
Abans Financial Services Ltd.,AFSL
Agarwal Industrial Corporation Ltd.,AGARIND
Dr. Agarwals Health Care Ltd.,AGARWALEYE
AGI Greenpac Ltd.,AGI
AGI Infra Ltd.,AGIIL
Anlon Healthcare Ltd.,AHCL
Ahluwalia Contracts (India) Ltd.,AHLUCONT
AIA Engineering Ltd.,AIAENG
Authum Investment & Infrastructure Ltd.,AIIL
Aimtron Electronics Ltd.,AIMTRON
Ajanta Pharma Ltd.,AJANTPHARM
Ajax Engineering Ltd.,AJAXENGG
Ajmera Realty & Infra India Ltd.,AJMERA
Akums Drugs & Pharmaceuticals Ltd.,AKUMS
Akzo Nobel India Ltd.,AKZOINDIA
Alembic Ltd.,ALEMBICLTD
Algoquant Fintech Ltd.,ALGOQUANT
Alicon Castalloy Ltd.,ALICON
Alivus Life Sciences Ltd.,ALIVUS
Alkem Laboratories Ltd.,ALKEM
Alkyl Amines Chemicals Ltd.,ALKYLAMINE
Allcargo Logistics Ltd.,ALLCARGO
Alldigi Tech Ltd.,ALLDIGI
All Time Plastics Ltd.,ALLTIME
Alok Industries Ltd.,ALOKINDS
Alpex Solar Ltd.,ALPEXSOLAR
Amagi Media Labs Ltd.,AMAGI
Amber Enterprises India Ltd.,AMBER
Ambika Cotton Mills Ltd.,AMBIKCO
Ambuja Cements Ltd.,AMBUJACEM
ANB Metal Cast Ltd.,AMCL
Amines & Plasticizers Ltd.,AMNPLST
Amrutanjan Health Care Ltd.,AMRUTANJAN
Anand Rathi Wealth Ltd.,ANANDRATHI
Anantam Highways Trust,ANANTAM
Anant Raj Ltd.,ANANTRAJ
Andhra Paper Ltd.,ANDHRAPAP
Andhra Sugars Ltd.,ANDHRSUGAR
Angel One Ltd.,ANGELONE
Anondita Medicare Ltd.,ANONDITA
Antelopus Selan Energy Ltd.,ANTELOPUS
Anthem Biosciences Ltd.,ANTHEM
Anuh Pharma Ltd.,ANUHPHR
The Anup Engineering Ltd.,ANUP
Anupam Rasayan India Ltd.,ANURAS
Anzen India Energy Yield Plus Trust,ANZEN
Apar Industries Ltd.,APARINDS
Apcotex Industries Ltd.,APCOTEXIND
Apex Frozen Foods Ltd.,APEX
APL Apollo Tubes Ltd.,APLAPOLLO
Alembic Pharmaceuticals Ltd.,APLLTD
Apollo Micro Systems Ltd.,APOLLO
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP
Apollo Pipes Ltd.,APOLLOPIPE
Apollo Tyres Ltd.,APOLLOTYRE
Australian Premium Solar (India) Ltd.,APS
Aptus Value Housing Finance India Ltd.,APTUS
Aqylon Nexus Ltd.,AQYLON
Amara Raja Energy & Mobility Ltd.,ARE&M
Arfin India Ltd.,ARFIN
Arihant Capital Markets Ltd.,ARIHANTCAP
Arihant Superstructures Ltd.,ARIHANTSUP
Arisinfra Solutions Ltd.,ARIS
Arkade Developers Ltd.,ARKADE
Arman Financial Services Ltd.,ARMANFIN
Arrow Greentech Ltd.,ARROWGREEN
Anand Rathi Share & Stock Brokers Ltd.,ARSSBL
Artemis Medicare Services Ltd.,ARTEMISMED
Arvind Ltd.,ARVIND
Arvind Fashions Ltd.,ARVINDFASN
Arvind SmartSpaces Ltd.,ARVSMART
Asahi India Glass Ltd.,ASAHIINDIA
Automotive Stampings and Assemblies Ltd.,ASAL
Associated Alcohols & Breweries Ltd.,ASALCBR
Ashapura Minechem Ltd.,ASHAPURMIN
Ashiana Housing Ltd.,ASHIANA
Ashoka Buildcon Ltd.,ASHOKA
Ashok Leyland Ltd.,ASHOKLEY
Asian Energy Services Ltd.,ASIANENE
Asian Hotels (North) Ltd.,ASIANHOTNR
Asian Paints Ltd.,ASIANPAINT
Asian Granito India Ltd.,ASIANTILES
ASK Automotive Ltd.,ASKAUTOLTD
Astec Lifesciences Ltd.,ASTEC
Aster DM Healthcare Ltd.,ASTERDM
Astral Ltd.,ASTRAL
Astra Microwave Products Ltd.,ASTRAMICRO
AstraZeneca Pharma India Ltd.,ASTRAZEN
Adani Total Gas Ltd.,ATGL
Ather Energy Ltd.,ATHERENERG
Atlanta Electricals Ltd.,ATLANTAELE
Atul Ltd.,ATUL
Atul Auto Ltd.,ATULAUTO
Au Small Finance Bank Ltd.,AUBANK
Aurionpro Solutions Ltd.,AURIONPRO
Aurobindo Pharma Ltd.,AUROPHARMA
Aurum Proptech Ltd.,AURUM
Automotive Axles Ltd.,AUTOAXLES
Avadh Sugar & Energy Ltd.,AVADHSUGAR
Avalon Technologies Ltd.,AVALON
Avantel Ltd.,AVANTEL
Avanti Feeds Ltd.,AVANTIFEED
Aditya Vision Ltd.,AVL
AVT Natural Products Ltd.,AVTNPL
Awfis Space Solutions Ltd,AWFIS
Antony Waste Handling Cell Ltd.,AWHCL
AWL Agri Business Ltd.,AWL
Axis Bank Ltd.,AXISBANK
AXISCADES Technologies Ltd.,AXISCADES
Aye Finance Ltd.,AYE
AYM Syntex Ltd.,AYMSYNTEX
Azad Engineering Ltd.,AZAD
Baheti Recycling Industries Ltd.,BAHETI
Bajaj Auto Ltd.,BAJAJ-AUTO
Bajaj Consumer Care Ltd.,BAJAJCON
Bajaj Electricals Ltd.,BAJAJELEC
Bajaj Finserv Ltd.,BAJAJFINSV
Bajaj Healthcare Ltd.,BAJAJHCARE
Bajaj Housing Finance Ltd.,BAJAJHFL
Bajaj Hindusthan Sugar Ltd.,BAJAJHIND
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG
Indef Manufacturing Ltd.,BAJAJINDEF
Bajel Projects Ltd.,BAJEL
Bajaj Finance Ltd.,BAJFINANCE
Balaji Telefilms Ltd.,BALAJITELE
Balaji Amines Ltd.,BALAMINES
Balkrishna Industries Ltd.,BALKRISIND
Balmer Lawrie & Company Ltd.,BALMLAWRIE
Balrampur Chini Mills Ltd.,BALRAMCHIN
Balu Forge Industries Ltd.,BALUFORGE
Bannari Amman Sugars Ltd.,BANARISUG
Banco Products (India) Ltd.,BANCOINDIA
Bandhan Bank Ltd.,BANDHANBNK
Bank of Baroda,BANKBARODA
Bank of India,BANKINDIA
Bansal Wire Industries Ltd.,BANSALWIRE
BASF India Ltd.,BASF
Bata India Ltd.,BATAINDIA
Bayer Cropscience Ltd.,BAYERCROP
Bharat Bijlee Ltd.,BBL
Black Box Ltd.,BBOX
The Bombay Burmah Trading Corporation Ltd.,BBTC
Brightcom Group Ltd.,BCG
BCL Industries Ltd.,BCLIND
Bharat Dynamics Ltd.,BDL
Mrs. Bectors Food Specialities Ltd.,BECTORFOOD
Bharat Electronics Ltd.,BEL
Belrise Industries Ltd.,BELRISE
BEML Ltd.,BEML
Bhansali Engineering Polymers Ltd.,BEPL
Berger Paints (India) Ltd.,BERGEPAINT
Beta Drugs Ltd.,BETA
BF Investment Ltd.,BFINVEST
BF Utilities Ltd.,BFUTILITIE
BGR Energy Systems Ltd.,BGRENERGY
Bhagiradha Chemicals & Industries Ltd.,BHAGCHEM
Bhageria Industries Ltd.,BHAGERIA
Bharat Coking Coal Ltd.,BHARATCOAL
Bharat Forge Ltd.,BHARATFORG
Bharat Rasayan Ltd.,BHARATRAS
Bharat Seats Ltd.,BHARATSE
Bharat Wire Ropes Ltd.,BHARATWIRE
Bharti Airtel Ltd.,BHARTIARTL
Bharti Hexacom Ltd.,BHARTIHEXA
Bharat Heavy Electricals Ltd.,BHEL
Bigbloc Construction Ltd.,BIGBLOC
Bikaji Foods International Ltd.,BIKAJI
Bhartiya International Ltd.,BIL
Biocon Ltd.,BIOCON
Brookfield India Real Estate Trust,BIRET
Birla Corporation Ltd.,BIRLACORPN
Aditya Birla Money Ltd.,BIRLAMONEY
BirlaNu Ltd.,BIRLANU
BlackBuck Ltd.,BLACKBUCK
BEML Land Assets Ltd.,BLAL
Bliss GVS Pharma Ltd.,BLISSGVS
B L Kashyap & Sons Ltd.,BLKASHYAP
BLS International Services Ltd.,BLS
BLS E-Services Ltd.,BLSE
Blue Dart Express Ltd.,BLUEDART
Blue Jet Healthcare Ltd,BLUEJET
Blue Star Ltd.,BLUESTARCO
Bluestone Jewellery and Lifestyle Ltd.,BLUESTONE
Bluspring Enterprises Ltd.,BLUSPRING
Bodal Chemicals Ltd.,BODALCHEM
Bombay Dyeing & Manufacturing Company Ltd.,BOMDYEING
Borana Weaves Ltd.,BORANA
Borosil Ltd.,BOROLTD
Borosil Renewables Ltd.,BORORENEW
Borosil Scientific Ltd.,BOROSCI
Bosch Home Comfort India Ltd.,BOSCH-HCIL
Bosch Ltd.,BOSCHLTD
Bharat Petroleum Corporation Ltd.,BPCL
Brigade Enterprises Ltd.,BRIGADE
Brigade Hotel Ventures Ltd.,BRIGHOTEL
Britannia Industries Ltd.,BRITANNIA
BSE Ltd.,BSE
Bombay Super Hybrid Seeds Ltd.,BSHSL
Birlasoft Ltd.,BSOFT
Shankara Buildpro Ltd.,BUILDPRO
Butterfly Gandhimathi Appliances Ltd.,BUTTERFLY
C2C Advanced Systems Ltd.,C2C
Camlin Fine Sciences Ltd.,CAMLINFINE
Campus Activewear Ltd.,CAMPUS
Computer Age Management Services Ltd.,CAMS
Canara Bank,CANBK
Can Fin Homes Ltd.,CANFINHOME
Canara HSBC Life Insurance Company Ltd.,CANHLIFE
Cantabil Retail India Ltd.,CANTABIL
Capacit'e Infraprojects Ltd.,CAPACITE
Capillary Technologies India Ltd.,CAPILLARY
Capital Infra Trust,CAPINVIT
Capital Small Finance Bank Ltd.,CAPITALSFB
Caplin Point Laboratories Ltd.,CAPLIPOINT
Carborundum Universal Ltd.,CARBORUNIV
CARE Ratings Ltd.,CARERATING
Carraro India Ltd.,CARRARO
CarTrade Tech Ltd.,CARTRADE
Carysil Ltd.,CARYSIL
Castrol India Ltd.,CASTROLIND
AvenuesAI Ltd.,CCAVENUE
Consolidated Construction Consortium Ltd.,CCCL
CCL Products India Ltd.,CCL
Central Depository Services (India) Ltd.,CDSL
Ceat Ltd.,CEATLTD
Ceigall India Ltd.,CEIGALL
Cello World Ltd.,CELLO
Cemindia Projects Ltd.,CEMPRO
Century Enka Ltd.,CENTENKA
Central Bank of India,CENTRALBK
Centrum Capital Ltd.,CENTRUM
Centum Electronics Ltd.,CENTUM
Century Plyboards (India) Ltd.,CENTURYPLY
Cera Sanitaryware Ltd.,CERA
CESC Ltd.,CESC
Concord Enviro Systems Ltd.,CEWATER
Capri Global Capital Ltd.,CGCL
CG Power and Industrial Solutions Ltd.,CGPOWER
Chalet Hotels Ltd.,CHALET
Chambal Fertilisers & Chemicals Ltd.,CHAMBLFERT
Chandan Healthcare Ltd.,CHANDAN
Chemplast Sanmar Ltd.,CHEMPLASTS
Chennai Petroleum Corporation Ltd.,CHENNPETRO
Cheviot Company Ltd.,CHEVIOT
Choice International Ltd.,CHOICEIN
Cholamandalam Investment & Finance Company Ltd.,CHOLAFIN
Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG
CIE Automotive India Ltd.,CIEINDIA
Capital India Finance Ltd.,CIFL
Cigniti Technologies Ltd.,CIGNITITEC
Cipla Ltd.,CIPLA
Clean Science & Technology Ltd.,CLEAN
Clean Max Enviro Energy Solutions Ltd.,CLEANMAX
Chaman Lal Setia Exports Ltd.,CLSEL
Central Mine Planning & Design Institute Ltd.,CMPDI
CMS Info Systems Ltd.,CMSINFO
Creative Newtech Ltd.,CNL
Coal India Ltd.,COALINDIA
Cochin Shipyard Ltd.,COCHINSHIP
Coforge Ltd.,COFORGE
Cohance Lifesciences Ltd.,COHANCE
Colgate-Palmolive (India) Ltd.,COLPAL
Commercial Syn Bags Ltd.,COMSYN
Container Corporation of India Ltd.,CONCOR
Concord Biotech Ltd.,CONCORDBIO
Confidence Petroleum India Ltd.,CONFIPET
Consolidated Finvest & Holdings Ltd.,CONSOFINVT
Control Print Ltd.,CONTROLPR
Coromandel International Ltd.,COROMANDEL
Corona Remedies Ltd.,CORONA
Cosmo First Ltd.,COSMOFIRST
Aditya Infotech Ltd.,CPPLUS
Craftsman Automation Ltd.,CRAFTSMAN
Canara Robeco Asset Management Company Ltd.,CRAMC
CreditAccess Grameen Ltd.,CREDITACC
Crest Ventures Ltd.,CREST
Crisil Ltd.,CRISIL
Crizac Ltd.,CRIZAC
Crompton Greaves Consumer Electricals Ltd.,CROMPTON
CSB Bank Ltd.,CSBBANK
CSL Finance Ltd.,CSLFINANCE
City Union Bank Ltd.,CUB
Cube Highways Trust,CUBEINVIT
Cummins India Ltd.,CUMMINSIND
Cupid Ltd.,CUPID
Cyient Ltd.,CYIENT
Cyient DLM Ltd.,CYIENTDLM
Dabur India Ltd.,DABUR
Dalmia Bharat Ltd.,DALBHARAT
Dalmia Bharat Sugar and Industries Ltd.,DALMIASUG
DAM Capital Advisors Ltd.,DAMCAPITAL
Danish Power Ltd.,DANISH
Datamatics Global Services Ltd.,DATAMATICS
Data Patterns (India) Ltd.,DATAPATTNS
Davangere Sugar Company Ltd.,DAVANGERE
DB Corp Ltd.,DBCORP
Dilip Buildcon Ltd.,DBL
Dhampur Bio Organics Ltd.,DBOL
Valor Estate Ltd.,DBREALTY
Dishman Carbogen Amcis Ltd.,DCAL
DCB Bank Ltd.,DCBBANK
DCM Shriram Ltd.,DCMSHRIRAM
DCM Shriram International Ltd.,DCMSIL
DCW Ltd.,DCW
DCX Systems Ltd.,DCXINDIA
Ddev Plastiks Industries Ltd.,DDEVPLSTIK
Deccan Cements Ltd.,DECCANCE
DEE Development Engineers Ltd.,DEEDEV
Deepak Fertilisers & Petrochemicals Corporation Ltd.,DEEPAKFERT
Deepak Nitrite Ltd.,DEEPAKNTR
Deep Industries Ltd.,DEEPINDS
Delhivery Ltd.,DELHIVERY
Delta Corp Ltd.,DELTACORP
Den Networks Ltd.,DEN
Denta Water and Infra Solutions Ltd.,DENTA
Vasa Denticity Ltd.,DENTALKART
Devyani International Ltd.,DEVYANI
Dhampur Sugar Mills Ltd.,DHAMPURSUG
Dhanlaxmi Bank Ltd.,DHANBANK
Dhanuka Agritech Ltd.,DHANUKA
Dharmaj Crop Guard Ltd.,DHARMAJ
Diamond Power Infrastructure Ltd.,DIACABS
Prataap Snacks Ltd.,DIAMONDYD
Diffusion Engineers Ltd.,DIFFNKG
Digitide Solutions Ltd.,DIGITIDE
Divgi Torqtransfer Systems Ltd.,DIVGIITTS
Divi's Laboratories Ltd.,DIVISLAB
Dixon Technologies (India) Ltd.,DIXON
DLF Ltd.,DLF
D-Link (India) Ltd.,DLINKINDIA
Avenue Supermarts Ltd.,DMART
Dodla Dairy Ltd.,DODLA
Dolat Algotech Ltd.,DOLATALGO
Dollar Industries Ltd.,DOLLAR
Dolphin Offshore Enterprises (India) Ltd.,DOLPHIN
DOMS Industries Ltd.,DOMS
D P Abhushan Ltd.,DPABHUSHAN
Divine Power Energy Ltd.,DPEL
India Power Corporation Ltd.,DPSCLTD
Dredging Corporation Of India Ltd.,DREDGECORP
Dr. Reddy's Laboratories Ltd.,DRREDDY
Dynacons Systems & Solutions Ltd.,DSSL
Dhunseri Ventures Ltd.,DVL
Dwarikesh Sugar Industries Ltd.,DWARKESH
Dynamic Cables Ltd.,DYCL
Dynamatic Technologies Ltd.,DYNAMATECH
E2E Networks Ltd.,E2E
Easy Trip Planners Ltd.,EASEMYTRIP
GNG Electronics Ltd.,EBGNG
eClerx Services Ltd.,ECLERX
Ecos (India) Mobility & Hospitality Ltd.,ECOSMOBLTY
Edelweiss Financial Services Ltd.,EDELWEISS
EFC (I) Ltd.,EFCIL
Eicher Motors Ltd.,EICHERMOT
EID Parry (India) Ltd.,EIDPARRY
Enviro Infra Engineers Ltd.,EIEL
Euro India Fresh Foods Ltd.,EIFFL
EIH Associated Hotels Ltd.,EIHAHOTELS
EIH Ltd.,EIHOTEL
Eimco Elecon (India) Ltd.,EIMCOELECO
Everest Kanto Cylinder Ltd.,EKC
Eldeco Housing & Industries Ltd.,ELDEHSG
Elecon Engineering Company Ltd.,ELECON
Electrosteel Castings Ltd.,ELECTCAST
Electrotherm (India) Ltd.,ELECTHERM
Elgi Equipments Ltd.,ELGIEQUIP
Ellenbarrie Industrial Gases Ltd.,ELLEN
Emami Ltd.,EMAMILTD
Embassy Office Parks REIT,EMBASSY
Embassy Developments Ltd.,EMBDL
Emcure Pharmaceuticals Ltd.,EMCURE
Electronics Mart India Ltd.,EMIL
Emmvee Photovoltaic Power Ltd.,EMMVEE
EMS Ltd.,EMSLIMITED
eMudhra Ltd.,EMUDHRA
Endurance Technologies Ltd.,ENDURANCE
Engineers India Ltd.,ENGINERSIN
Siemens Energy India Ltd.,ENRIN
Entero Healthcare Solutions Ltd.,ENTERO
EPACK Durables Ltd.,EPACK
EPack Prefab Technologies Ltd.,EPACKPEB
Epigral Ltd.,EPIGRAL
EPL Ltd.,EPL
Equitas Small Finance Bank Ltd.,EQUITASBNK
Eris Lifesciences Ltd.,ERIS
Esab India Ltd.,ESABINDIA
ESAF Small Finance Bank Ltd.,ESAFSFB
Escorts Kubota Ltd.,ESCORTS
Ester Industries Ltd.,ESTER
Eternal Ltd.,ETERNAL
Ethos Ltd.,ETHOSLTD
Emkay Tools Ltd.,ETL
Eureka Forbes Ltd.,EUREKAFORB
Euro Pratik Sales Ltd.,EUROPRATIK
Eveready Industries India Ltd.,EVEREADY
Excel Industries Ltd.,EXCELINDUS
Excelsoft Technologies Ltd.,EXCELSOFT
Exicom Tele-Systems Ltd.,EXICOM
Exide Industries Ltd.,EXIDEIND
Expleo Solutions Ltd.,EXPLEOSOL
Fabtech Technologies Ltd.,FABTECH
The Fertilisers and Chemicals Travancore Ltd.,FACT
Fairchem Organics Ltd.,FAIRCHEMOR
Faze Three Ltd.,FAZE3Q
Fineotex Chemical Ltd.,FCL
FDC Ltd.,FDC
Federal Bank Ltd.,FEDERALBNK
Fedbank Financial Services Ltd.,FEDFINA
FIEM Industries Ltd.,FIEMIND
Filatex India Ltd.,FILATEX
Finolex Cables Ltd.,FINCABLES
Fine Organic Industries Ltd.,FINEORG
Finkurve Financial Services Ltd.,FINKURVE
Fino Payments Bank Ltd.,FINOPB
Finolex Industries Ltd.,FINPIPE
Brainbees Solutions Ltd.,FIRSTCRY
Fischer Medical Ventures Ltd.,FISCHER
Five-Star Business Finance Ltd.,FIVESTAR
Flair Writing Industries Ltd,FLAIR
Gujarat Fluorochemicals Ltd.,FLUOROCHEM
FlySBS Aviation Ltd.,FLYSBS
Federal-Mogul Goetze (India) Ltd.,FMGOETZE
Foce India Ltd.,FOCE
Force Motors Ltd.,FORCEMOT
Fortis Healthcare Ltd.,FORTIS
Foseco India Ltd.,FOSECOIND
Fractal Analytics Ltd.,FRACTAL
Firstsource Solutions Ltd.,FSL
Fusion Finance Ltd.,FUSION
Gabriel India Ltd.,GABRIEL
Gujarat Ambuja Exports Ltd.,GAEL
GAIL (India) Ltd.,GAIL
Gala Precision Engineering Ltd.,GALAPREC
Galaxy Surfactants Ltd.,GALAXYSURF
Gallantt Ispat Ltd.,GALLANTT
Gandhar Oil Refinery (India) Ltd.,GANDHAR
Gandhi Special Tubes Ltd.,GANDHITUBE
Ganesha Ecosphere Ltd.,GANECOS
Ganesh Benzoplast Ltd.,GANESHBE
Ganesh Consumer Products Ltd.,GANESHCP
Ganesh Housing Ltd.,GANESHHOU
Garware Technical Fibres Ltd.,GARFIBRES
Garuda Construction and Engineering Ltd.,GARUDA
Gateway Distriparks Ltd.,GATEWAY
Gaudium IVF And Women Health Ltd.,GAUDIUMIVF
Gretex Corporate Services Ltd.,GCSL
Gem Aromatics Ltd.,GEMAROMA
Genesys International Corporation Ltd.,GENESYS
Genus Power Infrastructures Ltd.,GENUSPOWER
Geojit Financial Services Ltd.,GEOJITFSL
Great Eastern Shipping Company Ltd.,GESHIP
Ganesh Green Bharat Ltd.,GGBL
GHCL Ltd.,GHCL
GHCL Textiles Ltd.,GHCLTEXTIL
GIC Housing Finance Ltd.,GICHSGFIN
General Insurance Corporation of India,GICRE
Gillette India Ltd.,GILLETTE
Gujarat Industries Power Company Ltd.,GIPCL
GK Energy Ltd.,GKENERGY
Gujarat Kidney and Super Speciality Ltd.,GKSL
GKW Ltd.,GKWLIMITED
Gland Pharma Ltd.,GLAND
GlaxoSmithKline Pharmaceuticals Ltd.,GLAXO
Glenmark Pharmaceuticals Ltd.,GLENMARK
Globus Spirits Ltd.,GLOBUSSPR
Gloster Ltd.,GLOSTERLTD
G M Breweries Ltd.,GMBREW
Gujarat Mineral Development Corporation Ltd.,GMDCLTD
GMM Pfaudler Ltd.,GMMPFAUDLR
GMR Airports Ltd.,GMRAIRPORT
GMR Power and Urban Infra Ltd.,GMRP&UI
GNA Axles Ltd.,GNA
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,GNFC
GOCL Corporation Ltd.,GOCLCORP
Go Fashion (India) Ltd.,GOCOLORS
Godavari Biorefineries Ltd.,GODAVARIB
Godfrey Phillips India Ltd.,GODFRYPHLP
Go Digit General Insurance Ltd.,GODIGIT
Godrej Agrovet Ltd.,GODREJAGRO
Godrej Consumer Products Ltd.,GODREJCP
Godrej Industries Ltd.,GODREJIND
Godrej Properties Ltd.,GODREJPROP
Gokaldas Exports Ltd.,GOKEX
Gokul Agro Resources Ltd.,GOKULAGRO
Goldiam International Ltd.,GOLDIAM
Goodluck India Ltd.,GOODLUCK
