Stock Name,NSE Code
Gopal Snacks Ltd.,GOPAL
Godawari Power & Ispat Ltd.,GPIL
Gujarat Pipavav Port Ltd.,GPPL
GPT Healthcare Ltd.,GPTHEALTH
GPT Infraprojects Ltd.,GPTINFRA
Granules India Ltd.,GRANULES
Graphite India Ltd.,GRAPHITE
Grasim Industries Ltd.,GRASIM
Gravita India Ltd.,GRAVITA
Greaves Cotton Ltd.,GREAVESCOT
Greenlam Industries Ltd.,GREENLAM
Greenpanel Industries Ltd.,GREENPANEL
Greenply Industries Ltd.,GREENPLY
Orient Green Power Company Ltd.,GREENPOWER
Grindwell Norton Ltd.,GRINDWELL
G R Infraprojects Ltd.,GRINFRA
GRM Overseas Ltd.,GRMOVER
Billionbrains Garage Ventures Ltd.,GROWW
GRP Ltd.,GRPLTD
Garden Reach Shipbuilders & Engineers Ltd.,GRSE
Garware Hi-Tech Films Ltd.,GRWRHITECH
Gujarat State Fertilizer & Chemicals Ltd.,GSFC
GSP Crop Science Ltd.,GSPCROP
Gujarat State Petronet Ltd.,GSPL
GTL Infrastructure Ltd.,GTLINFRA
GTPL Hathway Ltd.,GTPL
Gufic BioSciences Ltd.,GUFICBIO
Gujarat Alkalies & Chemicals Ltd.,GUJALKALI
Gujarat Apollo Industries Ltd.,GUJAPOLLO
Gujarat Gas Ltd.,GUJGASLTD
Gujarat Themis Biosyn Ltd.,GUJTHEM
Gulf Oil Lubricants India Ltd.,GULFOILLUB
Gulshan Polyols Ltd.,GULPOLY
GE Power India Ltd.,GVPIL
GE Vernova T&D India Ltd.,GVT&D
Hindustan Aeronautics Ltd.,HAL
Happiest Minds Technologies Ltd.,HAPPSTMNDS
Happy Forgings Ltd.,HAPPYFORGE
Hardwyn India Ltd.,HARDWYN
Hariom Pipe Industries Ltd.,HARIOMPIPE
Harsha Engineers International Ltd.,HARSHA
Hathway Cable & Datacom Ltd.,HATHWAY
Hatsun Agro Products Ltd.,HATSUN
Havells India Ltd.,HAVELLS
HBL Engineering Ltd.,HBLENGINE
Hindustan Construction Company Ltd.,HCC
Healthcare Global Enterprises Ltd.,HCG
HCL Technologies Ltd.,HCLTECH
HDB Financial Services Ltd.,HDBFS
HDFC Asset Management Company Ltd.,HDFCAMC
HDFC Bank Ltd.,HDFCBANK
HDFC Life Insurance Company Ltd.,HDFCLIFE
HEG Ltd.,HEG
Heidelberg Cement India Ltd.,HEIDELBERG
Hemisphere Properties India Ltd.,HEMIPROP
Heranba Industries Ltd.,HERANBA
Heritage Foods Ltd.,HERITGFOOD
Hero MotoCorp Ltd.,HEROMOTOCO
Hester Biosciences Ltd.,HESTERBIO
Hexa Tradex Ltd.,HEXATRADEX
Hexaware Technologies Ltd.,HEXT
HFCL Ltd.,HFCL
HG Infra Engineering Ltd.,HGINFRA
Hinduja Global Solutions Ltd.,HGS
Hikal Ltd.,HIKAL
Himatsingka Seide Ltd.,HIMATSEIDE
Hindalco Industries Ltd.,HINDALCO
Hindustan Composites Ltd.,HINDCOMPOS
Hindustan Copper Ltd.,HINDCOPPER
Hindustan Oil Exploration Company Ltd.,HINDOILEXP
Hindustan Petroleum Corporation Ltd.,HINDPETRO
Hindustan Unilever Ltd.,HINDUNILVR
Hindware Home Innovation Ltd.,HINDWAREAP
Hindustan Zinc Ltd.,HINDZINC
Hind Rectifiers Ltd.,HIRECT
Hi-Tech Pipes Ltd.,HITECH
The Hi-Tech Gears Ltd.,HITECHGEAR
HLE Glascoat Ltd.,HLEGLAS
HMA Agro Industries Ltd.,HMAAGRO
HMT Ltd.,HMT
Hindustan Foods Ltd.,HNDFDS
Home First Finance Company India Ltd.,HOMEFIRST
Honasa Consumer Ltd.,HONASA
Honeywell Automation India Ltd.,HONAUT
Honda India Power Products Ltd.,HONDAPOWER
HPL Electric & Power Ltd.,HPL
Himadri Speciality Chemical Ltd.,HSCL
Hubtown Ltd.,HUBTOWN
Housing and Urban Development Corporation Ltd.,HUDCO
Huhtamaki India Ltd.,HUHTAMAKI
Hyundai Motor India Ltd.,HYUNDAI
Indiabulls Ltd.,IBULLSLTD
ICE Make Refrigeration Ltd.,ICEMAKE
ICICI Prudential Asset Management Company Ltd.,ICICIAMC
ICICI Bank Ltd.,ICICIBANK
ICICI Lombard General Insurance Company Ltd.,ICICIGI
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI
Indo Count Industries Ltd.,ICIL
ICRA Ltd.,ICRA
IDBI Bank Ltd.,IDBI
Vodafone Idea Ltd.,IDEA
ideaForge Technology Ltd.,IDEAFORGE
IDFC First Bank Ltd.,IDFCFIRSTB
Indian Energy Exchange Ltd.,IEX
IFB Agro Industries Ltd.,IFBAGRO
IFB Industries Ltd.,IFBIND
IFCI Ltd.,IFCI
IFGL Refractories Ltd.,IFGLEXPOR
Igarashi Motors India Ltd.,IGARASHI
International Gemmological Institute (India) Ltd.,IGIL
Indraprastha Gas Ltd.,IGL
I G Petrochemicals Ltd.,IGPL
IIFL Finance Ltd.,IIFL
IIFL Capital Services Ltd.,IIFLCAPS
IKIO Technologies Ltd.,IKIO
Inventurus Knowledge Solutions Ltd.,IKS
Imagicaaworld Entertainment Ltd.,IMAGICAA
Indian Metals & Ferro Alloys Ltd.,IMFA
India Motor Parts & Accessories Ltd.,IMPAL
Indegene Ltd.,INDGN
Indian Hotels Company Ltd.,INDHOTEL
India Cements Ltd.,INDIACEM
India Glycols Ltd.,INDIAGLYCO
IndiaMART InterMESH Ltd.,INDIAMART
Indian Bank,INDIANB
Indian Hume Pipe Company Ltd.,INDIANHUME
India Shelter Finance Corporation Ltd.,INDIASHLTR
InterGlobe Aviation Ltd.,INDIGO
Indigo Paints Ltd.,INDIGOPNTS
IndiGrid Infrastructure Trust,INDIGRID
Indiqube Spaces Ltd.,INDIQUBE
India Nippon Electricals Ltd.,INDNIPPON
Indo Amines Ltd.,INDOAMIN
Indo Borax & Chemicals Ltd.,INDOBORAX
Indoco Remedies Ltd.,INDOCO
Indo Farm Equipment Ltd.,INDOFARM
Indo Rama Synthetics (India) Ltd.,INDORAMA
Indostar Capital Finance Ltd.,INDOSTAR
Indo Tech Transformers Ltd.,INDOTECH
Indo Thai Securities Ltd.,INDOTHAI
Indraprastha Medical Corporation Ltd.,INDRAMEDCO
Ind-Swift Laboratories Ltd.,INDSWFTLAB
IndusInd Bank Ltd.,INDUSINDBK
Indus Infra Trust,INDUSINVIT
Indus Towers Ltd.,INDUSTOWER
InfoBeans Technologies Ltd.,INFOBEAN
Infosys Ltd.,INFY
Ingersoll-Rand (India) Ltd.,INGERRAND
Innova Captab Ltd.,INNOVACAP
Innovana Thinklabs Ltd.,INNOVANA
Innovision Ltd.,INNOVISION
Inox Green Energy Services Ltd.,INOXGREEN
Inox India Ltd.,INOXINDIA
Inox Wind Ltd.,INOXWIND
Insecticides (India) Ltd.,INSECTICID
Intellect Design Arena Ltd.,INTELLECT
Interarch Building Solutions Ltd.,INTERARCH
Indian Overseas Bank,IOB
Indian Oil Corporation Ltd.,IOC
IOL Chemicals and Pharmaceuticals Ltd.,IOLCP
Ion Exchange (India) Ltd.,IONEXCHANG
Ipca Laboratories Ltd.,IPCALAB
India Pesticides Ltd.,IPL
IRB Infrastructure Developers Ltd.,IRB
IRB InvIT Fund,IRBINVIT
Ircon International Ltd.,IRCON
Indian Railway Catering & Tourism Corporation Ltd.,IRCTC
Indian Renewable Energy Development Agency Ltd.,IREDA
Indian Railway Finance Corporation Ltd.,IRFC
IRIS Clothings Ltd.,IRISDOREME
IRM Energy Ltd.,IRMENERGY
ISGEC Heavy Engineering Ltd.,ISGEC
ITC Ltd.,ITC
ITC Hotels Ltd.,ITCHOTELS
India Tourism Development Corporation Ltd.,ITDC
ITI Ltd.,ITI
Ivalue Infosolutions Ltd.,IVALUE
LE Travenues Technology Ltd.,IXIGO
IZMO Ltd.,IZMO
Jammu & Kashmir Bank Ltd.,J&KBANK
Jagran Prakashan Ltd.,JAGRAN
Jagsonpal Pharmaceuticals Ltd.,JAGSNPHARM
Jai Balaji Industries Ltd.,JAIBALAJI
Jai Corp Ltd.,JAICORPLTD
Jain Resource Recycling Ltd.,JAINREC
Jamna Auto Industries Ltd.,JAMNAAUTO
Jaro Institute of Technology Management and Research Ltd.,JARO
Jash Engineering Ltd.,JASH
Jay Bharat Maruti Ltd.,JAYBARMARU
Jaykay Enterprises Ltd.,JAYKAY
Jayaswal Neco Industries Ltd.,JAYNECOIND
J B Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM
JBM Auto Ltd.,JBMA
J G Chemicals Ltd.,JGCHEM
Jindal Photo Ltd.,JINDALPHOT
Jindal Poly Films Ltd.,JINDALPOLY
Jindal Saw Ltd.,JINDALSAW
Jindal Steel Ltd.,JINDALSTEL
Jindal Drilling & Industries Ltd.,JINDRILL
Jindal Worldwide Ltd.,JINDWORLD
Jio Financial Services Ltd.,JIOFIN
Jain Irrigation Systems Ltd.,JISLJALEQS
JITF Infralogistics Ltd.,JITFINFRA
JK Cement Ltd.,JKCEMENT
J Kumar Infraprojects Ltd.,JKIL
JK Lakshmi Cement Ltd.,JKLAKSHMI
JK Paper Ltd.,JKPAPER
JK Tyre & Industries Ltd.,JKTYRE
Jupiter Life Line Hospitals Ltd.,JLHL
JM Financial Ltd.,JMFINANCIL
JNK India Ltd.,JNKINDIA
Jaiprakash Associates Ltd.,JPASSOCIAT
Jindal Poly Investment & Finance Company Ltd.,JPOLYINVST
Jaiprakash Power Ventures Ltd.,JPPOWER
Jana Small Finance Bank Ltd.,JSFB
Jindal Stainless Ltd.,JSL
Jeena Sikho Lifecare Ltd.,JSLL
JSW Cement Ltd.,JSWCEMENT
JSW Energy Ltd.,JSWENERGY
JSW Holdings Ltd.,JSWHL
JSW Infrastructure Ltd.,JSWINFRA
JSW Steel Ltd.,JSWSTEEL
JTEKT India Ltd.,JTEKTINDIA
JTL Industries Ltd.,JTLIND
Jubilant Agri and Consumer Products Ltd.,JUBLCPL
Jubilant Foodworks Ltd.,JUBLFOOD
Jubilant Ingrevia Ltd.,JUBLINGREA
Jubilant Pharmova Ltd.,JUBLPHARMA
Juniper Hotels Ltd.,JUNIPER
Just Dial Ltd.,JUSTDIAL
Jupiter Wagons Ltd.,JWL
Jyothy Labs Ltd.,JYOTHYLAB
Jyoti CNC Automation Ltd.,JYOTICNC
Jyoti Structures Ltd.,JYOTISTRUC
Kabra Extrusion Technik Ltd.,KABRAEXTRU
Kajaria Ceramics Ltd.,KAJARIACER
Sai Silks (Kalamandir) Ltd.,KALAMANDIR
Kalpataru Ltd.,KALPATARU
Kalyan Jewellers India Ltd.,KALYANKJIL
Kansai Nerolac Paints Ltd.,KANSAINER
Kapston Services Ltd.,KAPSTON
Karnika Industries Ltd.,KARNIKA
Karur Vysya Bank Ltd.,KARURVYSYA
Kaynes Technology India Ltd.,KAYNES
KCP Ltd.,KCP
KDDL Ltd.,KDDL
KEC International Ltd.,KEC
Kirloskar Electric Company Ltd.,KECL
KEI Industries Ltd.,KEI
Kellton Tech Solutions Ltd.,KELLTONTEC
Kernex Microsystems (India) Ltd.,KERNEX
KFIN Technologies Ltd.,KFINTECH
Kalyani Investment Company Ltd.,KICL
Krishna Institute of Medical Sciences Ltd.,KIMS
Kingfa Science & Technology (India) Ltd.,KINGFA
KIOCL Ltd.,KIOCL
Kiri Industries Ltd.,KIRIINDUS
Kirloskar Brothers Ltd.,KIRLOSBROS
Kirloskar Oil Engines Ltd.,KIRLOSENG
Kirloskar Industries Ltd.,KIRLOSIND
Kirloskar Pneumatic Company Ltd.,KIRLPNU
Kitex Garments Ltd.,KITEX
Kewal Kiran Clothing Ltd.,KKCL
Knowledge Marine & Engineering Works Ltd.,KMEW
KNR Constructions Ltd.,KNRCON
Kody Technolab Ltd.,KODYTECH
Kokuyo Camlin Ltd.,KOKUYOCMLN
Kolte-Patil Developers Ltd.,KOLTEPATIL
Kopran Ltd.,KOPRAN
Kotak Mahindra Bank Ltd.,KOTAKBANK
Kothari Petrochemicals Ltd.,KOTHARIPET
K P Energy Ltd.,KPEL
KPI Green Energy Ltd.,KPIGREEN
Kalpataru Projects International Ltd.,KPIL
KPIT Technologies Ltd.,KPITTECH
KPR Mill Ltd.,KPRMILL
KRBL Ltd.,KRBL
Krishana Phoschem Ltd.,KRISHANA
Krishival Foods Ltd.,KRISHIVAL
Krishna Defence and Allied Industries Ltd.,KRISHNADEF
KRN Heat Exchanger and Refrigeration Ltd.,KRN
Kross Ltd.,KROSS
Krsnaa Diagnostics Ltd.,KRSNAA
Knowledge Realty Trust,KRT
Krystal Integrated Services Ltd.,KRYSTAL
KSB Ltd.,KSB
Kaveri Seed Company Ltd.,KSCL
KSH International Ltd.,KSHINTL
Kalyani Steels Ltd.,KSL
Ksolves India Ltd.,KSOLVES
Karnataka Bank Ltd.,KTKBANK
Kuantum Papers Ltd.,KUANTUM
Kwality Wall's (India) Ltd.,KWIL
Dr. Lal Pathlabs Ltd.,LALPATHLAB
Landmark Cars Ltd.,LANDMARK
La Opala RG Ltd.,LAOPALA
Latent View Analytics Ltd.,LATENTVIEW
Laurus Labs Ltd.,LAURUSLABS
Laxmi Dental Ltd.,LAXMIDENTL
Le Merite Exports Ltd.,LEMERITE
Lemon Tree Hotels Ltd.,LEMONTREE
Lenskart Solutions Ltd.,LENSKART
LG Balakrishnan & Bros Ltd.,LGBBROSLTD
LG Electronics India Ltd.,LGEINDIA
Laxmi Goldorna House Ltd.,LGHL
LIC Housing Finance Ltd.,LICHSGFIN
Life Insurance Corporation of India,LICI
Likhitha Infrastructure Ltd.,LIKHITHA
Linc Ltd.,LINC
Lincoln Pharmaceuticals Ltd.,LINCOLN
Linde India Ltd.,LINDEINDIA
Lloyds Engineering Works Ltd.,LLOYDSENGG
Lloyds Enterprises Ltd.,LLOYDSENT
Lloyds Metals & Energy Ltd.,LLOYDSME
LMW Ltd.,LMW
Lodha Developers Ltd.,LODHA
Sri Lotus Developers and Realty Ltd.,LOTUSDEV
Larsen & Toubro Ltd.,LT
L&T Finance Ltd.,LTF
LT Foods Ltd.,LTFOODS
LTIMindtree Ltd.,LTM
L&T Technology Services Ltd.,LTTS
Lumax Industries Ltd.,LUMAXIND
Lumax Auto Technologies Ltd.,LUMAXTECH
Lupin Ltd.,LUPIN
Lux Industries Ltd.,LUXIND
Laxmi Organic Industries Ltd.,LXCHEM
Mahindra & Mahindra Ltd.,M&M
Mahindra & Mahindra Financial Services Ltd.,M&MFIN
Maan Aluminium Ltd.,MAANALU
Macpower CNC Machines Ltd.,MACPOWER
Madras Fertilizers Ltd.,MADRASFERT
Magadh Sugar & Energy Ltd.,MAGADSUGAR
Bank of Maharashtra,MAHABANK
Mahamaya Steel Industries Ltd.,MAHASTEEL
Mahindra Lifespace Developers Ltd.,MAHLIFE
Mahindra Logistics Ltd.,MAHLOG
Maharashtra Scooters Ltd.,MAHSCOOTER
Maharashtra Seamless Ltd.,MAHSEAMLES
Maithan Alloys Ltd.,MAITHANALL
Mallcom (India) Ltd.,MALLCOM
Mamata Machinery Ltd.,MAMATA
Manaksia Coated Metals & Industries Ltd.,MANAKCOAT
Manali Petrochemicals Ltd.,MANALIPETC
Manappuram Finance Ltd.,MANAPPURAM
Manba Finance Ltd.,MANBA
Mangalam Cement Ltd.,MANGLMCEM
Man Industries (India) Ltd.,MANINDS
Man Infraconstruction Ltd.,MANINFRA
Mankind Pharma Ltd.,MANKIND
Manorama Industries Ltd.,MANORAMA
Vedant Fashions Ltd.,MANYAVAR
C.E. Info Systems Ltd.,MAPMYINDIA
Marathon Nextgen Realty Ltd.,MARATHON
Marico Ltd.,MARICO
Marine Electricals (India) Ltd.,MARINE
Marksans Pharma Ltd.,MARKSANS
Maruti Suzuki India Ltd.,MARUTI
Mas Financial Services Ltd.,MASFIN
Mastek Ltd.,MASTEK
Master Trust Ltd.,MASTERTR
Matrimony.com Ltd.,MATRIMONY
Max Estates Ltd.,MAXESTATES
Max Healthcare Institute Ltd.,MAXHEALTH
Max India Ltd.,MAXIND
Mayur Uniquoters Ltd.,MAYURUNIQ
Mazagon Dock Shipbuilders Ltd.,MAZDOCK
Madhya Bharat Agro Products Ltd.,MBAPL
M & B Engineering Ltd.,MBEL
Magellanic Cloud Ltd.,MCLOUD
Multi Commodity Exchange of India Ltd.,MCX
Global Health Ltd.,MEDANTA
Medi Assist Healthcare Services Ltd.,MEDIASSIST
Medplus Health Services Ltd.,MEDPLUS
Meesho Ltd.,MEESHO
Mangal Electrical Industries Ltd.,MEIL
Menon Bearings Ltd.,MENONBE
Metro Brands Ltd.,METROBRAND
Metropolis Healthcare Ltd.,METROPOLIS
Max Financial Services Ltd.,MFSL
Mahanagar Gas Ltd.,MGL
Mahindra Holidays & Resorts India Ltd.,MHRIL
MIC Electronics Ltd.,MICEL
Mishra Dhatu Nigam Ltd.,MIDHANI
Midwest Ltd.,MIDWESTLTD
Minda Corporation Ltd.,MINDACORP
Mindspace Business Parks REIT,MINDSPACE
MIRC Electronics Ltd.,MIRCELECTR
M M Forgings Ltd.,MMFL
MMTC Ltd.,MMTC
One Mobikwik Systems Ltd.,MOBIKWIK
Modis Navnirman Ltd.,MODIS
MOIL Ltd.,MOIL
Meghmani Organics Ltd.,MOL
Mold-Tek Packaging Ltd.,MOLDTKPAC
Monarch Networth Capital Ltd.,MONARCH
Monolithisch India Ltd.,MONOLITH
Monte Carlo Fashions Ltd.,MONTECARLO
Morepen Laboratories Ltd.,MOREPENLAB
MosChip Technologies Ltd.,MOSCHIP
Samvardhana Motherson International Ltd.,MOTHERSON
Motilal Oswal Financial Services Ltd.,MOTILALOFS
Motisons Jewellers Ltd.,MOTISONS
MphasiS Ltd.,MPHASIS
MPS Ltd.,MPSLTD
MRF Ltd.,MRF
Mangalore Refinery And Petrochemicals Ltd.,MRPL
MSP Steel & Power Ltd.,MSPL
MSTC Ltd.,MSTCLTD
Motherson Sumi Wiring India Ltd.,MSUMI
MTAR Technologies Ltd.,MTARTECH
Mahanagar Telephone Nigam Ltd.,MTNL
Mufin Green Finance Ltd.,MUFIN
Mukand Ltd.,MUKANDLTD
Mukka Proteins Ltd.,MUKKA
Munjal Auto Industries Ltd.,MUNJALAU
Muthoot Finance Ltd.,MUTHOOTFIN
Muthoot Microfin Ltd.,MUTHOOTMF
Manoj Vaibhav Gems N Jewellers Ltd.,MVGJL
MVK Agro Food Product Ltd.,MVKAGRO
Mangalam Worldwide Ltd.,MWL
NACL Industries Ltd.,NACLIND
Nahar Spinning Mills Ltd.,NAHARSPING
Nippon Life India Asset Management Ltd.,NAM-INDIA
Natco Pharma Ltd.,NATCOPHARM
National Aluminium Company Ltd.,NATIONALUM
Info Edge (India) Ltd.,NAUKRI
NAVA Ltd.,NAVA
Navin Fluorine International Ltd.,NAVINFLUOR
Navkar Corporation Ltd.,NAVKARCORP
Navneet Education Ltd.,NAVNETEDUL
Nazara Technologies Ltd.,NAZARA
NBCC (India) Ltd.,NBCC
NCC Ltd.,NCC
NCL Industries Ltd.,NCLIND
NDR Auto Components Ltd.,NDRAUTO
NDR InvIT Trust,NDRINVIT
New Delhi Television Ltd.,NDTV
Nelcast Ltd.,NELCAST
Nelco Ltd.,NELCO
Neogen Chemicals Ltd.,NEOGEN
Nephrocare Health Services Ltd.,NEPHROPLUS
Nesco Ltd.,NESCO
Nestle India Ltd.,NESTLEIND
Netweb Technologies India Ltd.,NETWEB
Network18 Media & Investments Ltd.,NETWORK18
Neuland Laboratories Ltd.,NEULANDLAB
Newgen Software Technologies Ltd.,NEWGEN
National Fertilizers Ltd.,NFL
NGL Fine - Chem Ltd.,NGLFINE
Narayana Hrudayalaya Ltd.,NH
National Highways Infra Trust,NHIT
NHPC Ltd.,NHPC
The New India Assurance Company Ltd.,NIACL
NIBE Ltd.,NIBE
NIIT Ltd.,NIITLTD
NIIT Learning Systems Ltd.,NIITMTS
Nilkamal Ltd.,NILKAMAL
Nintec Systems Ltd.,NINSYS
Nitco Ltd.,NITCO
Nitin Spinners Ltd.,NITINSPIN
Niva Bupa Health Insurance Company Ltd.,NIVABUPA
NLC India Ltd.,NLCINDIA
NMDC Ltd.,NMDC
NOCIL Ltd.,NOCIL
Northern Arc Capital Ltd.,NORTHARC
Network People Services Technologies Ltd.,NPST
N R Agarwal Industries Ltd.,NRAIL
NRB Bearings Ltd.,NRBBEARING
Nalwa Sons Investments Ltd.,NSIL
NMDC Steel Ltd.,NSLNISP
NTPC Ltd.,NTPC
NTPC Green Energy Ltd.,NTPCGREEN
Nucleus Software Exports Ltd.,NUCLEUS
Nuvama Wealth Management Ltd.,NUVAMA
Nuvoco Vistas Corporation Ltd.,NUVOCO
Nexus Select Trust REIT,NXST
Nxt-Infra Trust,NXT-INFRA
FSN E-Commerce Ventures Ltd.,NYKAA
Oriental Aromatics Ltd.,OAL
Oberoi Realty Ltd.,OBEROIRLTY
OBSC Perfection Ltd.,OBSCP
Oracle Financial Services Software Ltd.,OFSS
Oil India Ltd.,OIL
Ola Electric Mobility Ltd.,OLAELEC
Olectra Greentech Ltd.,OLECTRA
Omaxe Ltd.,OMAXE
Om Infra Ltd.,OMINFRAL
Omnitech Engineering Ltd.,OMNI
One Point One Solutions Ltd.,ONEPOINT
OneSource Specialty Pharma Ltd.,ONESOURCE
Oil And Natural Gas Corporation Ltd.,ONGC
Optiemus Infracom Ltd.,OPTIEMUS
Orchid Pharma Ltd.,ORCHPHARMA
Oriana Power Ltd.,ORIANA
Oricon Enterprises Ltd.,ORICONENT
Orient Cement Ltd.,ORIENTCEM
Orient Electric Ltd.,ORIENTELEC
Oriental Hotels Ltd.,ORIENTHOT
Orient Technologies Ltd.,ORIENTTECH
The Orissa Minerals Development Company Ltd.,ORISSAMINE
Orkla India Ltd.,ORKLAINDIA
Osel Devices Ltd.,OSELDEVICE
Oswal Green Tech Ltd.,OSWALGREEN
Oswal Pumps Ltd.,OSWALPUMPS
Pace Digitek Ltd.,PACEDIGITK
Page Industries Ltd.,PAGEIND
Paisalo Digital Ltd.,PAISALO
Panacea Biotec Ltd.,PANACEABIO
Panama Petrochem Ltd.,PANAMAPET
Paramount Communications Ltd.,PARACABLES
Paradeep Phosphates Ltd.,PARADEEP
Parag Milk Foods Ltd.,PARAGMILK
Paras Defence and Space Technologies Ltd.,PARAS
Parin Enterprises Ltd.,PARIN
Park Medi World Ltd.,PARKHOSPS
Apeejay Surrendra Park Hotels Ltd.,PARKHOTELS
Pashupati Cotspin Ltd.,PASHUPATI
Patanjali Foods Ltd.,PATANJALI
Patel Engineering Ltd.,PATELENG
Patel Retail Ltd.,PATELRMART
Paushak Ltd.,PAUSHAKLTD
One97 Communications Ltd.,PAYTM
PCBL Chemical Ltd.,PCBL
Petro Carbon and Chemicals Ltd.,PCCL
PC Jeweller Ltd.,PCJEWELLER
Pudumjee Paper Products Ltd.,PDMJEPAPER
PDS Ltd.,PDSL
Pennar Industries Ltd.,PENIND
Persistent Systems Ltd.,PERSISTENT
Petronet LNG Ltd.,PETRONET
Power Finance Corporation Ltd.,PFC
Pfizer Ltd.,PFIZER
Prime Focus Ltd.,PFOCUS
PTC India Financial Services Ltd.,PFS
PG Electroplast Ltd.,PGEL
